Name
Victor Adamchik
Adelanya Adesanya
Leonard M Adleman
Jose-Luis Ambite
Murali Annavaram
Michael A. Arbib
Ron Artstein
Salman Avestimehr
Nora Ayanian
Jernej Barbic
Sandra Batista
George Bekey
Irving Biederman
Barry William Boehm
Claire Bono
Todd Andrew Brun
Keith Burghardt
Muhao Chen
Bill Cheng
Selina Chu
Bradford Clark
St. John Colon
Aaron Daniel Cote
Heather Culbertson
Paul Debevec
Ewa Deelman
Jyo Deshmukh
David DeVault
Bistra Dilkina
Shaddin Dughmi
Scott John Easley
Anna Farzindar
Emilio Ferrara
Rafael Ferreira da Silva
Aram Galstyan
Kallirroi Georgila
Shahram Ghandeharizadeh
Yolanda Gil
Leana Golubchik
Andrew Goodney
Andrew Gordon
Ramesh Govindan
Jonathan Gratch
Satyandra K. Gupta
William Guillermo Halfond
Parag Havaldar
John S. Heidemann
Randall Hill
Jerry Robert Hobbs
Ellis Horowitz
Ming-Deh A. Huang
Laurent Itti
Rahul Jain
Adel Javanmard
Robin Jia
Rajiv Kalia
Taha Kapadia
David Kempe
Carl F Kesselman
Craig A. Knoblock
Sven Koenig
Supannika Koolmanojwong
Aleksandra Korolova
Artjoms Kovalovs
Bhaskar Krishnamachari
C.-C. Jay Kuo
Kristina Lerman
Jaime Levy
Joseph Lim
Yan Liu
Stephen Chih-Yang Lu
Gale Lucas
Bob Lucas
Haipeng Luo
Vangelis Lympouridis
Xuezhe Ma
Iacopo Masi
Maja Mataric
Christian Mattmann
Jon May
Gerard Guy Medioni
Nenad Medvidovic
Jeffrey Miller
Jelena Mirkovic
Urbashi Mitra
David Morgan
Fred Morstatter
Ion Muslea
Aiichiro Nakano
Shri Narayanan
Premkumar Natarajan
Muhammad Naveed
Hamid Nazer-Zadeh
Andy Nealen
Clifford  Neuman
Ulrich Neumann
Ram Nevatia
Stefanos Nikolaidis
Pierluigi Nuzzo
Marco Paolieri
Marco Papa
Nanyun Peng
Viktor K Prasanna
Konstantinos Psounis
Jay Pujara
David Pynadath
Xuehai Qian
Saty Raghavachary
Barath Raghavan
C S Raghavendra
Mukund Raghothaman
Mohammad Reza Rajati
Srivatsan Ravi
Meisam Razaviyayn
Mark William Redekopp
Benjamin W. Reichardt
Sean (Xiang) Ren
Aristides A.G. Requicha
Remo Rohs
Paul S. Rosenbloom
Tatyana Ryutov
Nicolas Schweighofer
Fei Sha
Cyrus Shahabi
Shahriar Shamsian
Vatsal Sharan
Wei-Min Shen
Neil Siegel
Mohammad Soleymani
Mahdi Soltanolkotabi
Gaurav Sukhatme
Tianshu Sun
Bill Swartout
Pedro Alejandro Szekely
Shanghua Teng
Satish Kumar Thittamaranahalli
Jesse Thomason
David Traum
Francisco Valero-Cuevas
Priya Darshan Vashishta
Harshvardhan Vathsangam
Phebe Vayanos
Gregory L. Ver Steeg
Chao Wang
Ning Wang
Michael S. Waterman
Richard Weinberg
John P. Wilson
Wensheng Wu
Jiapeng Zhang
Michael Zyda
